評論,評分,發布時間
"飛鏢練的好 shot盤不會少
店內禁煙簡直舒服",5,1 年前
Q9超棒，bartender 親切調酒也超棒，老闆親切和善！尊爵版暢飲質感優惠又值回票價！,5,4 年前
服務員超親切健談，滷味拼盤也好吃，重點是酒好喝，超讚超推啦！,5,2 年前
"要地震整修不營業
還沒有通知訂位的人
人都到門口了…
傻眼",1,7 個月前
"子淮好帥好可愛,隨意最好喝",5,7 年前
調酒很優！尊絕版試過的真的會一直想來！單點調酒也能暢飲！太划算了吧！,5,10 個月前
"還不錯但只是稍微昏暗, 但暢飲很划算老闆也很nice值得一來👍🏾 …",5,5 年前
"尊絕版的暢飲風味不錯
調酒師能依據客人喜好做調整 很棒👍🏻 …",5,4 年前
"老闆的暢飲很棒，會認真給意見。
下次還願意再去消費",5,8 個月前
"調酒師很親切 好聊天👍 這杯 印象深刻
調酒師 特調的 取名 阿凡達❤️ 超級好喝 好喝 …",5,5 年前
氛圍比較像老舊ktv 調酒也沒多好喝 服務費還收超過一成 不要被騙了,1,11 個月前
"當天電話訂位時被告知消費方式有低消/夜店暢飲/尊爵暢飲這3種，但安排到座位的時候被告知現在消費方式有變只剩低消還有尊爵暢飲(30分鐘前才通過電話馬上就可以變?)
某店員講話方式咄咄逼人，酒單一拿來不給時間看就強迫馬上點餐，後續加點菜單一副要給不給的樣子，點完急著收菜單的感受上很差。

2顆星僅給炸物好吃跟其他店員服務上很棒！

調酒單點平價但就同價位來說並不算好喝，若是不想去店裡受氣+喝CP值好點的酒，東區鄰近還是有很多好酒吧的選擇！",2,2 年前
"呵呵，強迫五星，多送你一顆。
暢飲還怕人喝，還要多收其他費用。
評價根本洗出來的，酒也沒多好喝。",1,1 年前
"真的非常喜歡這種不吵又有酒喝的環境
只是太晚去了～
店家在最後點酒時間都會特別每桌詢問
而且對喝調酒沒概念的我也會有適當的推薦
非常值得推一個",5,1 年前
尊絕版暢飲蠻優的！單點質感的調酒居然可以暢飲也太划算🤙🏻 …,5,11 個月前
"學生來電話訂位折$100(五顆星就是這樣刷來的)
很普通的酒吧 去過很多家都比他們調的好喝
走偏安靜的風格 但又是暢飲店？？明明都是多人座位還不太能吵鬧 無法理解⋯店員一直來關心 大家玩到一半被打擾 滿掃興",1,4 年前
薯條超多 超讚 調酒還可以依據自己的喜好客製化❤️,5,2 年前
"價格便宜，無限暢飲喝到爽，Bartender很會跟客人互動，老闆的服務也超好，朋友在外面吐的一塌糊塗，第一時間就來幫我們，真心推薦這家店，服務品質，室內環境好的沒話說！
如果是學生來的話要先訂喔！不然就沒有折100嘍",5,4 年前
"服務員親切好聊
但是酒都偏甜",3,1 年前
"酒喝起來一點都不像酒⋯
但飛鏢很好玩～",1,1 年前
還蠻喜歡這裡酒的質感，真的很優～最推尊爵版暢飲！完全顛覆我對暢飲店的印象！還有桌遊可以玩～贏了又有招待！很開心！,5,2 年前
第一次去這家暢飲酒吧，玩到最後剩下我們一組客人，店家營業時間還沒到就關冷氣關音樂，是要把我們趕走的意思？服務態度不佳，上酒速度慢、又難喝，真心不推薦，便宜沒好貨,1,2 年前
這杯酒蠻好喝的，店員很熱情,5,1 年前
"很好玩～
調酒好喝極了
服務很好很熱情
棒棒！還會再來",5,4 年前
"調酒種類多很好喝

最推""尊爵版""調酒👍🏻👍🏻👍🏻 …",5,2 年前
"店內環境/店內客人素質/店內調酒 純飲類/要不是1星才能評 不然我也不想評 但我實在不想再讓別人受罪
要是你只在乎價格你可以來
但是如果你是喝酒的 找別的吧",1,2 年前
"雷，不去真的不相信...還有接電話和門口接待是同一人，態度很糟糕，帶了一群朋友過去，完全沒面子。還沒開始盡興就已經被門口接待員的態度弄到場面很冷，一臉責怪和不爽的語氣  請問我們是做了什麼事嗎要這樣被對待？？？結局就是大家尷尬的散場，超級後悔帶了朋友過去。
想了很久擔心下一人遇到和我一樣的情況，特地上來做評論。",1,2 年前
"上禮拜要訂這個禮拜的位結果跟我們說請前一天再訂，其實就想很奇怪到底哪有訂位只能前天訂的啊？結果前一天要訂居然說已經被包場了？？？
然後當天晚上又說23點後可以訂，超傻眼就算有空我也是不想去了...",1,3 年前
"藍妹啤酒香港人的口味,430台幣任飲真開心。",5,6 年前
服務人員超親切 氣氛不錯 很自在 可以常來,5,5 年前
尊爵版暢飲真的不一樣耶，調酒好喝很多哦〜而且還有服務生貼心詢問口感可做修改，真的有感受到vip的感受，消費跟一般暢飲比起來也還算合理，建議來的朋友可以試試看,5,3 年前
"根本沒有什麼誤會，且不舒服感是打從我一進門就有了，你客製化調酒還東提醒西提醒，搞得好像學生不懂，怕弄壞你的任何東西，而只是放個外套，在那邊唧唧歪歪，打個標還在那邊看看看，老闆還一直跟酒保悄悄話，一副不屑的樣子。
你不要跟我抱歉，我不需要你們道歉，因為我們不會再去。我也不需要你們罐頭訊息，我貼心的幫你複製了，不用你麻煩了。感恩。不聯絡。

「照成您的誤解與不舒服本店深感抱歉!本店暢飲為客製化調酒!會提醒與告知義務!或許是認知或溝通不良!謝謝您的提醒!本店會再多了解顧客想要的需求!謝謝!優惠部份本店並無逃避!只是優惠規則!照成您的困擾深感抱歉!這點會跟公司反應改善謝謝!廁所這就有點嚴重了!廁所吐是沒清潔費的!員工上廁所是沒被限制的照成您的誤解深感抱歉!」",1,6 年前
"尊爵版暢飲真的不一樣耶，調酒好喝很多哦～
而且還有服務生貼心詢問口感可做修改，真的有感受到vip的感受，消費跟一般暢飲比起來也還算合理，建議來的朋友可以試試看。",5,3 年前
"雷，令人深刻感受到google評論都可以用買的。

建議各位仔細看看留言再決定要不要踏入這間店。所謂暢飲店剛踏入店裡就被提醒東提醒西，彷彿瞬間回到小學生，打破杯子要賠錢能理解，一直注意客人有沒有嘔吐的眼神令人不舒服(很想收清潔費？)，剛開始甜的or酸的酒淡的像水還以為上了果汁，想喝濃的長島還被要求要本人帶著杯子(帶著一開始發的杯子去領)，沒錯要本人，可能想確定是誰喝了那杯吐的，這麼難喝難怪可以暢飲；噢對了，飛鏢機被要求四個人要共用6支飛鏢: 飛鏢可能很貴吧我不是很明白行情，總之，一切都令人感覺很不舒服。

道歉的罐頭訊息就不用複製貼上了，慢走不送。",1,5 年前
"態度不佳  玻璃杯拿上來全是水 我知道你剛洗過杯子 但你至少也擦一下吧 要不給張衛生紙也好啊  你家調酒鹽口請問是直接往鹽巴裡懟嗎？喝一口瞬間喪失味覺
說是吸煙區 怎麼過了一個桌子旁邊鏢機那就是禁煙區了?! 怎麼你家吸煙區只限定椅子上嗎？還沒2:30就開始收桌子 然後一直問要不要加點  老闆和全體員工後面一直全部一起進廚房再出來好幾次吧台鬧空城記 是把我們當空氣嗎？1.你不用感謝我的批評指教把你的服務做好就好2.不要以為女生就好欺負
謝謝你讓我學到了美好的教訓",1,4 年前
"真不知道評論是怎麼洗出來的
酒難喝到爆炸，根本不值一杯平均250的價值
（並非酒濃不濃的問題）
難喝到不行還要一人低消500，難喝到根本點不到兩杯。
別間酒吧同價值甚至連酒杯都有造型，而不是隨便用看起來像簡餐附的紅茶給的杯子？
東西也還沒吃完酒也沒喝完
就一直過來說要幫我們收空杯？我也是不知道你哪裡看到有空杯？我們在聊天聊的正起勁也要硬要過來插話要收空杯？
請問貴店是很缺杯子嗎？
奉勸大家勿踩雷東區很多更優質的選擇",1,3 年前
尊爵版暢飲大推！招待的shot盤很特別！Q9紅綠燈特調一定要試試！,5,2 年前
"前一個禮拜訂位叫我們前一天再訂，前一天訂跟我說包場不能訂，然後又說可以...
光是訂位就度爛，4.9是不是招待東西叫人給5星來的",1,3 年前
老闆人很親切，整間店氣氛都很棒❤️,5,5 年前
"評價好都是逼出來的！！
態度真的沒很好～環境也沒有像照片那樣精緻，煙味很重，酒也沒有到很好喝，播世足的品質也不好，比賽播到一半就黑掉～戴眼鏡的服務生很跩，服務也沒很好，但老闆人很好",1,6 年前
"傻眼，點了兩杯調酒，坐不到1小時，結帳一千一左右，當下也沒有覺得奇怪，離開之後隔天才想到：明明才兩杯酒，是趁著我們續攤看起來很醉就多收錢？？十分過分，當時點的時候菜單上一杯酒寫三百多，就算兩杯都四百加個服務費也不會到一千一。
另外酒的口味很普通，位置還有環境也普，cp平心而論不高，不會來第二次。
加上發生這件事情，感覺到很不受尊重，而且沒有信譽。在東區喝酒第一次遇到，很北宋，差評。如果每一組客人都差個小錢，做生意可以這樣？失望。",1,5 年前
"爛成這樣還要600? 評論洗出來的？？
想賺錢也不是這樣亂搞...
說什麼暢飲 柳橙汁+伏特加隨便調，
這樣還要我花錢請你調？在家還比較爽...
而且電視還爛成這樣還敢開跨年場？
我們總共六個人有定位，這樣還得做門口？
三個人要擠一張雙人沙發，
人經過時還會被撞？
之後店員讓我們換到後面，
以為會好一點，結果還得跟別人併桌？",1,3 年前
有位店員一直催著先付款。然後雖然按讚才能有優惠，但該店員一直站在我們旁邊盯著我們要立即按讚，覺得很有壓力.................,1,6 年前
超讚～調酒也都很好喝～,5,7 個月前
"1. 無先告知而多收打破酒杯需收 $300

2. 這家店4點關 但是服務員2點就會開始像討債集團一樣跟你要錢 （理由是說他們會計要下班了） 請問哪家的會計凌晨2點才下班。騙人也不打草稿

3. 開的發票少於收的金額。我付現金2590 要開發票報帳 櫃檯原本只願意開給我2290的發票（300想自己吃？）後來在我多次提出要報帳才給我開2590

4. 把客人當賊看。我在走之前使用廁所， 在廁所門外馬上有個服務生迎接我。然後檢查廁所（在這之前我沒有過這種被檢查廁所的經驗）",1,7 年前
都用工讀生或是用點心招待客人才給五顆星，完全被騙，環境超差，比U2還不如，服務態度不好，服務人員超像流氓，知道我們給一顆星還來「關切」，隱匿較划算的消費方式，明明有單點卻不告知，直接說目前是暢飲，詢問才知道有單點。射飛鏢機一次還要收20元，結帳時還ㄘㄟ我們，想花錢找罪受可以考慮，完全真心不騙。徹底毀了週五夜晚。瞎！一進去看到環境就感受我在說什麼。調酒超級難喝！,1,8 年前
好喝又便宜老闆好客又招待,5,1 年前
平日來無抽菸。雖然其他桌有抽菸，但是「比較」沒飄到我們這桌，在無暢喝到好喝不雷的摩西多真的感動。藍哥熱情，調酒師認真,5,3 年前
"尊絕版的暢飲CP值超高的啦
老闆人超好非常親切
真的是很棒的體驗
聽說還有龍舌蘭炸彈挑戰
希望下次有機會可以挑戰",5,4 年前
學生來電折100元 調酒很棒會讓你喝一口再調整酸甜 很划算適合三五好友來,5,4 年前
"一開始店家會詢問調酒喜歡甜一點還是酸一點的，但是試過兩種都一樣難喝，就連嘗試其他調酒都一樣如此，大部分都是從冷水壺裡面倒出來的。實在無法入喉因此後來改喝藍妹啤酒到底......但是薯條還蠻好吃的。
不知道4.8的評價是從何而來，個人口味不同吧....................",1,6 年前
"調酒暢飲很ok
微茫的感覺很蘇湖啦～",5,4 年前
"不確定會不會被看到 畢竟五星評價多到感覺「不可思議」
酒不好喝 非常清淡想說 濃一點的又像藥
氣氛不好 環境普通 音樂難聽
老闆會一直逼問要不要叫餐點 整體下來非常不推薦",1,3 年前
店員超nice ，薯條巨好吃😋 …,5,2 年前
以暢飲酒吧來說 價錢太高 同一區有其他更值得去的暢飲酒吧。壞境一般般 酒也還好。工作人員不定時跑來問我們還有幾個人 很影響當下的氣氛。最傻眼的是店家不收五塊一塊 嫌零錢麻煩嗎？,1,4 年前
並未明說沒有white lady，就擅自改了bloody mary，一直到上了詢問店員才說,1,1 年前
"尊爵版暢飲真的cp值超高
很多酒都是夜店版喝不到的
老闆也會推薦最適合自己的酒
超讚der 有機會的話還會在來訪",5,4 年前
"想盡辦法逃避優惠，要求優惠會故意刁難拿出雙證件，壽星優惠還不能重複，強迫客人拿出手機給五顆星評價
態度差到爆，跩的二五八萬
開暢飲還怕人家喝，點濃酒還萬方叮嚀酒保隨便給，客人去廁所出來後馬上進去查看，分明是想坑清潔費
大家千萬不要去，拜託了🙏 …",1,6 年前
推尊絕版大推～喝的超級開心，老闆又可愛有趣，店員也很有禮貌，防疫期間也很注意安全喔，絕對會再回訪的！！,5,3 年前
"呃..調酒還好..
可能因為有暢飲所以分數很高，
但以台北的bar而言，這長相真的不漂亮，
喜歡漂亮環境的女孩男孩要注意..
前三個月去過一次，服務態度不差，也不會兇巴巴。只是也沒那麼好親近^^",3,8 年前
"無言～調酒根本沒有酒精味！？
還叫調酒？非常扯！
菜單的價錢不一！？
炸物拼盤塊$500 少的可憐
不小心打破酒杯🍷$300
想說用點酒的方式折抵
態度超硬～硬是要賠酒杯的錢
也沒有告知.....

糟糕👎不可能會再來😡",1,7 年前
價格很貴的很嚇人 後來跟朋友回去算了一下 都可以喝兩次左右 也沒喝很多杯 已經點暢飲了 兩個人要五千多塊？？,1,4 年前
服務非常好！老闆人也很好～,5,5 年前
尊絕版暢飲才880調酒隨意喝,5,3 年前
這次跟幾個朋友一起聚會 聊天氣氛不錯 每個店員也都很客氣...很會聊。下次有去台北會再約,5,5 年前
我覺得這邊的調酒師人都很好 條完酒還會請客人喝看看夠不夠濃 我覺得這是一件對於不想太快喝醉的人一件非常好的事情 老闆也很客氣 價格也很平民,5,5 年前
個人認為還不錯，和朋友點了尊絕版暢飲，服務也很好，這邊酒的味道個人和朋友很喜歡，會再來～,5,3 年前
吧檯帥哥蠻搞笑地的！整體調酒都很不錯！推薦尊爵版暢飲～太划算了！,5,2 年前
開bar嫌我們吵，店又不是走安靜風格，然後調酒暢飲水的跟什麼一樣，只有一個調酒師在調，大家大排長龍很沒效率，工作人員態度不好，整間店不知道在幹嘛,1,5 年前
"暢飲的酒沒酒味就算了，賺不多不打緊。
單點酒也很難喝… 評價不知道是哪裡來的… 真心建議不要來….",1,3 年前
"真的是爛店
一進去就強迫你按五顆星 然後還要留言說好
結果只是灌水 一副怕你喝 服務有夠爛 真的不會再去了 服務態度有夠差 老闆廢話太多 說甚麼客製化調酒 結果你說你要什麼他給你回說喔我們酒都有一定的比例 不能改 一副你學生你不懂 拜託你沒有多厲害 調的酒有夠難喝 夜店暢飲都好喝一百倍 完全不會想介紹朋友再去 雷到不行",1,6 年前
Bartender蠻親切的，點的每一杯調酒都會詢問客人的喜好，也很仔細地介紹鏢台的玩法，所以整個氣氛很讓人感到放鬆，會想再跟朋友一起來~總之度過了一個美好的夜晚😚 …,5,5 年前
"超貼心的服務，提供客製化
氣氛很棒，還有飛鏢可以玩

老闆超幽默，很熱情

如果喜歡品嚐調酒
又不想要處於烏煙瘴氣、震耳欲聾的環境
這邊是最好的選擇❤️",5,6 年前
我是建議你們可以選一些輕快的爵士或藍調會比較適合喝酒 也很舒服 不會有強烈的節奏聲音傳到樓上 現在的音樂有點像健身房的音樂。更新。哈囉哈囉 前幾天有比較安靜 這兩天又開始半夜聽到碰碰碰的音樂聲 甚至傳到五樓這麼高的樓層 請問你們是否有辦法加裝隔音的設備呢？好多戶家裡都有嬰兒 真的很困擾耶。  您好 煩請貴店家調低音樂音量 聲音在午夜隨樓板傳到樓上住戶 不勝其擾,4,5 年前
氣氛不錯👍第一次來體驗尊爵版調酒很滿意！下次還要來！ …,5,2 年前
"完全不會想再訪
環境煙味加香水味混在一起
電視畫質差  音樂難聽

酒見人見智 服務人員狂推尊爵
評價都是真人留的？",1,3 年前
"天啊～這酒吧超棒～老闆超可愛親和力超強
很適合第一次想來酒吧喝酒的女生～老闆還會幫你叫計程車🚕 …",5,3 年前
"調酒師人很親切 CP值爆表
內部裝潢很漂亮
人員很熱心的跟我們介紹鏢台玩法
有機會還會帶朋友再來小酌一下",5,5 年前
學生訂位折100，超讚的，老闆人超好，店員人超帥,5,5 年前
店家親切，調酒夠正統，不會感覺水一堆，氣氛舒服，不會感覺吵雜，東西也不錯吃，以東區來說，價位實在便宜，還有大螢幕投影布幕可以看比賽，聚餐同樂或自己小酌的，好去處~,5,9 年前
氣氛不錯，適合朋友聚會，老闆人不錯會聊天，喝ㄎㄧㄤ會照顧客人，推無限暢飲尊爵$880超值,5,4 年前
"調酒師臉臭的跟什麼一樣
喝暢飲還怕被人喝烈酒，一副怕你喝不完，感覺超差，真的該好好改進態度，以後都不會去消費，炸物都很乾超不新鮮，一顆心都不想給",1,6 年前
"海風超讚 也可以點海狗❤️
調酒師人很好 服務生態度也很棒👍
氣氛也好到不行👍 大家真的要來看看
放鬆心情😌 …",5,4 年前
"服務周到！食物好吃
就算是無酒精也很好喝！
很放鬆的地方～",5,1 年前
調酒很好喝，老闆人也很Nice，氣氛佳，下班跟朋有聚會的好去處👍🏼👍🏼👍🏼 …,5,2 年前
來電話訂位，當月壽星訂位，七人以上一人夜店版暢飲免費！,5,2 年前
調酒好喝 服務好 很優質,5,4 年前
"有學生證折100欸 爽
CP值超好的！",5,5 年前
"CP值很高
這裡什麼都很讚",5,3 年前
暢飲不錯，打鏢好玩，做包廂覺得舒服以及自在！大家要來環遊世界一下！,5,5 年前
"說實話
這間真的不推
店內煙味很重 空間狹小
雖然是暢飲但是服務態度不應該這麼差吧？
調酒師服務態度也很差
整體而言很不舒服
不會再去光臨第二次了！",1,7 年前
是個朋友聚會的好地方，老闆人超nice 還招待喝酒，棒棒的,5,1 年前
"酒有暢飲400或800
包廂空間也滿大的
環境氣氛還蠻不錯的👍 …",5,3 年前
整體環境在lounge bar 中算舒適，部分調酒師給的味道也都很不錯，適合三五好友小小地喝酒聚會閒聊。,4,5 年前
暢飲價位適中～   喜歡喝調酒的 可以來～～  老闆人很好  還有飛鏢可以遊玩  適合理性飲酒來聚會 推推～～,5,4 年前
2個人共點6瓶可樂娜，一盤薯條，結帳1980...！？,1,4 年前
"台北東區一定不能錯過Q9
CP值最高的酒與最潮老闆讓你無限暢飲及狂歡",5,5 年前
酒精濃度都沒4.8，google評論還有?淡的跟水一樣到底要賣誰，拜託大家不要只看評分,1,7 年前
"週五還有免費塔羅牌活動呢!!
服務不錯 氣氛很好喔
讚讚讚❤️❤️",5,3 年前
尊絕版CP值超高很適合姐妹跟或情侶一起來，老闆很nice👍👍 …,5,2 年前
"態度有夠差的
評價都洗來的啊
在門口等超久還要要先評5顆星才能進去
真的是傻爆眼欸",1,4 年前
"暢飲店就別來單點了  真的不行
經典調酒真的不ok
但老闆親切",1,4 年前
這酒是真的難喝真心不騙絕對不會再來第二次，喝過那麼多家沒喝過這麼難喝的！！！,1,4 年前
店員用話術誘使消費者按五顆星，且一開始不讓我們進場點酒，進場後又不斷打擾消費者，沒有給予適當空間,1,6 年前
氣氛棒，遊戲也相當有趣，相當推薦的酒吧！下次會在來！,5,2 年前
"價錢優惠、店員服務態度很好
會依照個人喜好調配專屬飲料❤️",5,5 年前
"服務很好很舒心，
還有好玩的飛鏢～
環境單純會想再訪 很推❤️❤️❤️",5,4 年前
服務生 子淮 很帥～這邊真的值得來玩 一定要來找他喔！！ ❤️❤️❤️。推推推👍🏻👍🏻👍🏻 …,5,7 年前
服務佳、氣氛好然後酒好喝還有客製化，也適合跟朋友一起來小酌聊天～,5,5 年前
沒去過暢飲吧～第一次體驗！質感很高的暢飲吧👍 …,5,2 年前
"評價都洗來的 還沒進場就先被要求評五星
酒也難喝 有夠解嗨👎🏼👎🏼👎🏼 …",1,4 年前
"有一點點🤏帥的小達！服務很到位👍
薯條好吃😋👍👍👍 …",5,2 年前
酒類OK，食物OK，店員親切，服務態度有一定的水準。不過店內可以自在抽菸，所以給四星。,4,5 年前
有無限暢飲的消費方式，可以把想喝但沒喝過且還有能耐喝的酒都點過一輪,3,9 年前
氣氛不錯！蠻推的！可以玩遊戲還有招待！,5,2 年前
嘉士伯啤酒🍺暢飲覺得不可思議！高貴不貴的好地方！超推！ …,5,2 年前
學生證折100元，請大家趕快來,5,6 年前
當月壽星來電訂位 滿六位一人免費,5,6 年前
老闆人nice   環境氣氛佳  調酒也可以照自己的喜好調~  最好人多來更合適,5,4 年前
壽星優惠！六人同行一人免費！一定要來喔～,5,5 年前
"酒調的不好 大部分的調酒都和應該有的味道不同
五星都是刷出來的",1,4 年前
調酒好喝 店員親切 東西好吃 氣氛佳 適合聚會或男女單獨享受 ps.店員真的很帥喔！,5,7 年前
尊爵版調酒真的划算 隨便喝都喝回本 老闆bartender都很親切,5,4 年前
好夥伴一起放鬆喝酒真開心,4,5 年前
子淮真的很棒 喝酒一定找他 滿足你所有 店裡超適合多人來玩,5,7 年前
服務態度超棒，尊絕版真的很讚，愛喝調酒的可以挑戰,5,3 年前
黑店 一直迫人五星好評 然後突然說最後一杯 就關空調開燈 迫人走,1,6 年前
當月壽星6人以上來電訂位ㄧ人免費,5,6 年前
台北暢飲的酒吧不多了，但畢竟一分錢一分貨，也也無須太計較,5,2 年前
"調酒種類多又好喝, 服務人員有禮貌, 地點方便好相聚, 飛鏢比賽真有趣....",5,9 年前
學生來店訂位折100~,5,5 年前
冷氣超冷 三次請店員換座位都無疾而終 裡面一堆座位 不懂？,1,7 年前
"暢飲很棒，尊絕版適合想喝飽得好喝好喝滿
杏仁奶酒很棒",5,3 年前
尊爵版暢飲超划❤️,5,3 年前
學生來這訂位折價100,5,5 年前
尊爵版的方案超讚,5,3 年前
當月壽星 六人以上訂位一人免費,5,6 年前
學生來電訂位者折100👍 …,5,3 年前
壽星來電訂位七人以上一人免費,5,3 年前
尊爵真的物超所值 真的沒再跟你偷工減料 7杯真的ㄎㄧㄤ爆,5,4 年前
壽星來電話訂位七人以上一位壽星免費,5,2 年前
"店員人很好，
會依照客人喜好調酒，
也很好聊天！",5,4 年前
學生訂位折一百元！😳😳😳 …,5,5 年前
生日來店訂位 6人以上一人免費,5,6 年前
酒不好喝，店員也不友善，口氣很不耐煩，價位偏高，很沒fu。,1,4 年前
薯條跟全家餐一樣 很讚,5,1 年前
雷店 評論都是被洗出來的,1,1 年前
酒很好喝 服務人員很親切 環境很讚！cp值高！！！,5,5 年前
老闆人很好 物超所值 CP值超高 東西也好吃,5,4 年前
調酒暢飲超好喝  氣氛好  餐點好吃  服務超讚！,5,6 年前
心疼板橋人，別來耶誕城～,5,2 年前
學生來電訂位折100,5,4 年前
我和我的好朋友（20 個人）在這裡度過了一段愉快的時光。工作人員非常友好，非常照顧我們。飲料還不錯，小吃也不錯。總的來說，暢飲並認識很多人是一次有趣的經歷（還有一個不錯的地方）繼續努力！,5,1 年前
非常好的飲料。服務周到。我會再次訪問這裡。,5,2 年前
價格只要 390 美元+無限暢飲，相當便宜，但別以為你在這裡會有點暴躁。  經理很粗魯，多次打斷我們的談話。環境和食物都還可以，但我們絕對不會再回來了。,2,8 年前
定價很好，小點心也不錯。沒什麼特別的。工作人員很友好，這是一個優點。不過，吸二手菸產生的煙霧對我來說有點太多了——我不得不出去幾次呼吸新鮮空氣。,3,6 年前
