評論,評分,發布時間
"簡約俐落的設計讓人覺得舒服
調酒好喝點心好吃
小酌幾杯～沉醉在這美好的氛圍裡
放鬆的好地方",5,1 年前
酒難喝 音響破 動線爛 領班態度有夠差 領包沒人接待ㄧ問三不知 瞎到爆,1,3 個月前
週六HIPHOP party人多好好玩,5,5 個月前
酒吧非常有質感 酒的種類也很多 酒也很好喝 跟其他酒吧比較來算蠻隱密的 而且就算人多也不會覺得很悶 如果有去的朋友一定要找zaco北台灣最帥調酒師 不想喝菜單上的酒也可以客製化,5,11 個月前
"調酒師超帥 酒也很有水準
店裡是車廂主題 很漂亮氣氛很好
不管是跟朋友小聚聊天 或是慶生派對都很適合
信義質感酒吧❤️",5,11 個月前
"酒不錯喝，水煙很順口！芒果1100$
內部包廂大概一眼望去有10個
DJ當天放的歌很好聽 比隔壁棚還來的喜歡！
人也不會太多要人擠人",5,1 年前
不尊重駐唱表演者，沒有禁菸，體驗非常差，服務人員態度很沒禮貌,1,7 個月前
真的很棒的bar 氣氛很好！,5,11 個月前
哎呀！真不好說....整個Bar就是為這種超質感時尚男女打造的，不得不說，老闆是不是有篩選入店客人呢？俊男靚女齊聚一堂，卻也不會吵雜，很喜歡這裡的氣氛.... Anyway，絕對值得質感男女來此一回。,5,1 年前
整個酒吧太有氛圍了！好喜歡這種vibe，每個禮拜下班都會來一次！,5,1 年前
"信義顏值擔當bartender
會調酒又會噴火
經過一定要上去喝兩杯吧🔥🔥 …",5,11 個月前
"調酒師Zaco 超nice～調的酒超好喝！
氣氛也很棒💓💓💓",5,11 個月前
店長zaco 長的很帥人也親切大家快來這間店找他喝酒,5,11 個月前
燈光氣氛都很柔和優美，整體佈置很喜歡，推薦大家來休閒放鬆一下。,5,1 年前
音樂很好👌，老闆很帥 員工也很正,5,10 個月前
"燈光氣氛加！
DJ音樂好！
Bartender噴火帥！",5,11 個月前
24超棒 剛隔壁比起來 這也太棒了吧,5,10 個月前
超讚 音樂超棒 包廂設計也超有趣,5,11 個月前
中分頭那個調酒師很帥,5,11 個月前
地方很舒服、調酒很好喝🥰 …,5,1 年前
調酒超讚！氣氛讚！,5,1 年前
體驗良好 酒很好喝,5,9 個月前
服務到位，調酒好喝！,5,11 個月前
氛圍拉滿地爽到天頂蓋,5,11 個月前
訂位找kevin準沒錯！👍,5,11 個月前
就最愛Zaco 跟Allen 哥了,5,11 個月前
調酒好喝讚讚,5,1 年前
有夠好玩的地方,5,11 個月前
調酒好喝！！,5,1 年前
訂位找Kevin🥳,5,11 個月前
讚讚讚 棒棒棒 明天再來！,5,1 年前
"Bartender ZACO 調酒很頂
🔥🔥🔥🔥🔥🔥🔥🔥🔥 …",5,11 個月前
訂位找Kevin ！,5,11 個月前
整體很棒,5,11 個月前
Zaco讚喔,5,11 個月前
信義最讚😻😻,5,11 個月前
讚爆,5,11 個月前
店員可以,5,11 個月前
讚讚,5,1 年前
很棒的空間,5,1 年前
"這一天充滿了新體驗的興奮！
感謝您在 BAR24 度過了愉快的時光
我對台灣有美好的回憶！
謝謝你留下美好的回憶:)",5,11 個月前
這是一家非常好的酒吧，擁有私密的氛圍和友善的員工。,5,11 個月前
我出差去了Bar24，在奢華的氛圍和音樂中度過了一段愉快的時光。,5,11 個月前
我喜歡他們的飲料和音樂，我一定會回來的！,5,10 個月前
"我在台灣最喜歡的地方
強烈推薦👍",5,11 個月前
服務很棒！,5,1 年前
👍 …,5,10 個月前
最好的服務。氣氛很好。,5,1 年前
跳舞寶貝舞💋 …,5,11 個月前
良好的氛圍,5,11 個月前
很不錯,5,11 個月前
酒很好喝,5,11 個月前
找Zaco喔,5,11 個月前
超好玩,5,10 個月前
,5,3 個月前
,5,3 個月前
,5,6 個月前
,5,6 個月前
,3,6 個月前
,5,9 個月前
,5,9 個月前
,5,9 個月前
,5,9 個月前
,5,10 個月前
,5,10 個月前
,5,10 個月前
,5,10 個月前
,5,10 個月前
,5,11 個月前
,5,11 個月前
,5,11 個月前
,5,11 個月前
,5,11 個月前
,5,11 個月前
,5,11 個月前
,5,11 個月前
,5,11 個月前
,5,11 個月前
,5,11 個月前
,5,11 個月前
,5,11 個月前
,5,11 個月前
,5,11 個月前
,5,11 個月前
,5,11 個月前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,4,1 年前
,5,1 年前
,5,1 年前
,2,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
,5,1 年前
