評論,評分,發布時間
"是一個可以放鬆喝酒的好地方 環境舒適
店員會簡介酒品 飲用重點 產地與背景 增添許多品飲樂趣",5,2 年前
提供價格合理且品質好的葡萄酒，適合跟好友聚聚小酌的好地方，氣氛溫馨，服務人員也專業親切。不喝酒的話也有輕食料理及咖啡等選擇，在石牌難能可貴的小酌私房美店。,5,2 年前
非常有質感的享受！店員親切熱情，幫少喝紅白酒的我們（野人們？）選到合胃口的好酒！餐點和酒都在水準之上，以後要常常來了！,5,2 年前
"超級質感店家！有驚艷感
單杯酒300，吃的也不少，坐在裡面感覺都時髦了",5,2 年前
很喜歡店裡輕鬆的氛圍，每位店員都熱情也知識豐富，對於品酒小白而言內用沒有壓力。,4,1 年前
溫馨舒適安靜播放吉他輕音樂的環境，提供價格合理的優質的酒類、火腿（菜單還有甜點、非酒精類飲品、咖啡）適合獨自前往，也適合和好友家人一起品嚐美食美酒的好處所。,5,2 年前
"距石牌捷運站約6分鐘的西班牙葡萄酒店面👍🏽

整體明亮舒適，讓人可以放鬆自在品酒
另外還設有－包廂，可以容納約10人！
聚會好所在啊！（提醒：有低消）

重要的是除了各種葡萄酒選品，另外還有簡單西班牙小食可以搭配

讓我可以滿足對cheese, salami and tapas 的慾望呀🤤
從門口到店內裝潢也都好美呀😳",5,3 年前
好溫馨的角落，提供讓人驚豔的西班牙葡萄酒，推薦品嚐套組🍇餐食以簡單下酒小食為主～ …,5,2 年前
在網路上看到石牌有這家店的時候覺得很特別很欣喜！店內布置簡單清新，整體感覺到店家用心，服務人員親切的介紹了每款酒的特色，產地，特別的是有些酒款有酒卡，掃瞄QR code還有老闆為酒款錄製的語音介紹！透過語音在品嚐美酒時又多了ㄧ層的了解也更有對當地酒莊的想像描繪！今天點了精選漫遊組，品嚐到了很多不同風味的酒款！很推薦！！,5,1 年前
少見的愜意空間，跟朋友小聚、品酒都非常舒適,5,2 年前
"氛圍很舒服，紅酒好喝，生火腿讚ㄉ
猜酒小遊戲很可愛！",5,7 個月前
趁著人潮不多～一個空間裡充滿了每一個小角落各自有著有趣、想發問、很多故事可以聽，放鬆自在的空間,5,3 年前
"闆娘西班牙、法國的歷程。
讓我們這次品酒會彷彿回到了歐洲，再一次享受當地風俗美味👍 …",5,2 年前
有咖啡廳氣息，有質感也能輕鬆品嚐葡萄酒的地方，店員親切也會細心介紹酒款，很舒服的地方。,5,2 年前
"一個溫馨舒適的夜晚
店員很親切的介紹酒款
餐點也讚讚讚❤️",5,11 個月前
隱身市井巷弄的高品質品酒店 而且精緻小餐點也都好棒 可以吃到西班牙伊比利火腿 開心🥹 …,5,1 年前
"很棒的地方
捷運步行約15分鐘
很多有特色的葡萄酒🍷 …",5,1 年前
"現切伊比利生火腿搭上老闆推薦紅酒太銷魂了
生蠔搭上爽口白酒更是絕配
懷念起去西班牙吃吃喝喝的日子",5,1 年前
"選酒有驚喜，雪莉甜酒非常棒！美味、傳統有深度，一般不喝甜酒的人也可以欣賞。
店員恰到好處的熱情，講解也詳細。",5,1 年前
環境舒適，餐點精緻好吃，尤其是雞肝醬，非常綿密濃郁！還有專人幫忙解釋菜單，和推薦適合搭配的紅白酒！,5,3 年前
氣氛很好，酒好喝餐點也好吃，很適合朋友來聊天,5,2 個月前
很輕鬆很棒的一個地方，甜點及餐點都好吃，最棒的還是酒😊 …,5,2 年前
咖啡很香很好喝，生火腿令人驚豔（大推），紅酒配火腿超對位👍,5,1 年前
"可愛的西班牙酒專賣店
環境舒適
也有小點和鹹食可以點",5,2 年前
店裡氣氛非常好，葡萄酒好喝，甜點也好吃且CP值高，老闆非常專業也很會介紹，石牌這邊很難得有可以聚會喝酒的質感好地方！推👍🏽 …,5,2 年前
"原來已經有2年了⋯⋯
（因爲疫情⋯😊）

無酒精老滕果汁氣泡 🍷療癒的好滋味",5,1 年前
舒服的環境，選酒好喝，介紹認真，北投人的福音。,5,1 年前
"想要品飲、探討葡萄酒的好去處
店內氣氛很棒，非常適合悠閒的品飲！
店員們專業知識度極高👍
並且很樂意介紹與分享自身經驗 ！",5,8 個月前
東西好吃！店員親切～雖然不喝酒！但是白葡萄汁非常好喝，推薦👍🏻食物也非常好吃😋 …,5,2 年前
"美味的食物，好喝的酒，專業熱情的介紹，非常舒適的空間。
推推❤️",5,2 年前
很有質感 很有氣氛,5,3 個月前
環境很美，適合假日朋友一起小酌的好地方～,5,1 年前
異國情調的氛圍👍🏾專業的員工👍🏾包廂真的太舒服了😌 …,5,2 年前
悠閒下午紅酒饗宴，套餐就能喝到5支精選酒款，CP值超高，狂推起士盤，紅酒的好朋友🥰🥰 …,5,2 年前
是一間會一直被紅酒控男友拖來的店，他目前立志要集齊所有酒品，難得不喜歡紅酒的我，都很能享受，氣氛跟環境都超美，大大大推薦。,5,3 年前
"心念已久想來拜訪的好店
能安靜的用餐
好喝的酒跟美食
店員服務也很親切
下次還會想要試試其他酒款😍",5,2 年前
一間很有特色的店，裡面充滿著有特色的葡萄酒以及輕食，十分推薦套組的葡萄酒組合，可以品嚐出不同酒的特色！,5,2 年前
店的氣氛很棒，店員也很用心介紹酒款，餐點和酒都很優質,5,1 年前
服務人員介紹專業，環境很舒服，tapas和肉盤也很好吃。,5,2 年前
一如往常，服務非常好，選酒也很好喝！！！,5,1 年前
"點杯葡萄酒再搭配橄欖油輕食，耳邊播放著輕柔的音樂，這個午后，讓我一再回味…
❤️店內美到怎麼拍都好美啊",5,3 年前
"店員介紹的很細心
很有自己特色的一間酒館
是個休息的好地方",5,3 年前
"食物好吃酒好喝 氣氛也很棒
服務人員專業
推薦！",5,1 年前
很棒的葡萄酒館，有很多自然酒，也專業的葡萄介紹和搭酒餐點，喜歡葡萄酒的人士可以來試試,5,2 年前
很放鬆，專業的品酒地點,5,2 年前
"放鬆的小地方
西班牙的酒&各式下酒菜❤️
店裡很安靜",5,3 年前
酒類介紹很專業，酒風味多元,5,3 週前
"2021聖誕晚餐，海鮮配白酒，舒服~
每支酒、餐點都很細心介紹講解讚👍 …",5,2 年前
"環境空間很棒
服務人員非常專業
餐點精緻",5,2 年前
"朋友相聚的好天地。
環境舒服、食物多樣，酒affordable.",5,1 年前
環境舒適，酒和食物都很讚！,5,2 年前
很棒的店 氣氛好 非常適合下班小酌的好去處 酒好喝 餐點也好吃,5,1 年前
這裡的人事物一切都好美好好夢幻，對於酒類產品的問題在這裡都能得到滿意的回覆，是個放鬆休閒之虞又能長知識的好地方。,5,2 年前
老闆超認真，幾乎每支酒都錄簡介，點友加油～,5,2 年前
很舒服愜意的環境，每款酒的表現都想當不錯,5,3 年前
舒適的環境，老闆的葡萄酒知識非常豐富且專業，下次一定會再來👍 …,5,3 年前
適合約會的好地方，可以品嚐各種不同的紅白酒,5,1 年前
與朋友小酌聊天的好地方。,5,1 年前
"異國食物的風味,難能可貴有特色兼具美味.酒類亦有高cp值的紅、白、粉紅酒.環境也很優,舒適高格調搭上好背景音樂.值得一來再來.",5,1 年前
氣氛好 食物好吃 酒好喝 ☺️,5,2 個月前
"氣氛💯酒類推薦💯
有機會會再回訪",5,6 個月前
荔枝香氣很不錯，口感不同,5,4 個月前
環境超棒，店內適合拍照打卡，店員專業介紹,5,2 年前
非常颯爽優雅的葡萄酒專門店，店員對於葡萄酒的特性、風味、年份、品飲建議都非常熟悉，而即使對於葡萄酒一無所知也不會有壓力，在店員的細心解說下，可以更進一步感受葡萄酒繁複深邃的魅力，是值得專程拜訪的好店。,5,2 年前
豐、足、多種酒、環境氣氛佳、肉多多,5,2 年前
"對酒的說明非常詳細
食物跟酒很搭",5,5 個月前
店員很細心的講解酒的味道及香氣，並幫我們推薦食物，店內裝潢也十分舒適，是會想一直來的店,5,1 年前
服務人員專業、酒好喝、食物和甜點超好吃,5,1 年前
鹿肉義式風乾臘腸非常美味,5,8 個月前
氣氛佳👍餐點滿意,5,1 年前
木質調的裝飾加上輕柔的音樂，打造出恬靜悠閒的下午茶品酒時光，搭餐小點精緻不馬虎，服務人酒款推薦相當專業，大推👍 …,5,2 年前
"看了店家照片點了馬鈴薯蛋餅，真的是一場災難，超小一顆，看到的當下覺得別鬧了！口感乾澀沒有馬鈴薯香氣，表面是烤太久嗎？吃起來又乾又硬，只能說「照騙」！

店員推薦的葡萄酒是好喝的
非常有水準
食物上面真的不行❌

幸好點了只要店家選的火腿是好吃，基本上不會有雷的火腿拼盤，搭著葡萄酒很棒，不然真是太糟糕的體驗⋯⋯

跟泡麵包裝一樣，僅供參考",3,2 年前
酒類非常專業，現場氣氛很好,5,5 個月前
很適合下班去聊天放鬆的地方,5,3 個月前
環境氛圍佳，店員介紹酒款詳細專業，內有一些相關書籍可翻閱，不論是與三五好友來輕鬆小酌，或是獨享自在時光都很合適。,5,2 年前
喜歡紅、白酒的人很推薦，環境也很舒服！餐點也挺好吃,5,10 個月前
舒服微醺的美酒+氛圍,5,11 個月前
"2022疫情取消了北上的行程
今年趁著10天年假終於可以來一趟深杯子品嚐美酒吃美食 台北的喝酒文化跟南部差異真的很大 很適合喝酒放鬆的環境 有機會北上一定會再來 雞肝醬好好吃🤤😋😋😋 …",5,1 年前
店員親切，各類酒說明詳細！,5,5 個月前
好店欸沒什麼好說的！裡面超chill! 每個酒都有自己的酒卡，上面還有很酷的標語！我下次要選卡喝酒😌餐點看起來也很棒！想吃個輕食喝杯好酒，不要問，來這鬆一下。 …,5,2 年前
"是附近住戶
客人不到時間點就會停在黃線
到貴店去
還不友善的擋住樓梯出口
得繞騎樓其他出口
能夠在臉書上呼籲您的客人
評論我撤
開店不易
大家互相珍惜",1,1 年前
"參加快閃牛肉麵活動而光顧

放空品酒的好環境
窗戶看出去 氣氛很慵懶

老闆小姐姐很熱情
也很仔細介紹各式酒的風味

最後 火腿超推 難忘的味道",5,1 年前
"氣氛非常好，服務很親切，也周到。
在北投這一帶一定要來的地方。
提供非常豐富的且多樣性的餐點，餐搭酒最合適了。",5,2 年前
專賣西班牙橄欖油及葡萄酒的店家，店內佈置的很有質感，店員也十分親切介紹自家的每一樣產品，感受得到想把好東西推薦給更多人認識的那份熱情。看到店內還有現切的生火腿！！下次一定要買來吃吃！！ 今天順手帶了一瓶橄欖油和二瓶葡萄酒，給自己一點享受。,5,3 年前
喜歡巷弄裡的小店☺️🤍 …,5,1 年前
"空間舒服明亮～
酒款的選擇很多🥳 …",5,2 年前
還蠻讚得🎃 非常專業👍,5,8 個月前
"多數為自然酒、生物動力酒
選酒注重技術還原風土原貌
環境舒適放鬆 燈光柔和 空氣乾淨清新
可以良好的專注在酒上
有單杯、瓶裝外帶、wine flight set
亦有搭酒小食
店員的介紹自然熟捻 而且內容詳細
不會過度渲染
是很全面的葡萄酒專門店",5,2 年前
店員解釋清晰 餐點品質不錯 酒類品質好👍推,5,7 個月前
店員會非常詳細介紹酒類知識,5,5 個月前
多款紅白酒可以推薦，室內環境很舒服！還有多款火腿可以搭配～,5,1 年前
"氛圍很喜歡，酒的名字都好浪漫🌹
當一個白日李白原來是如此愜意
侍酒的介紹很棒，令人不自覺幻想酒的風味 …",5,2 年前
餐好吃 酒好喝 店員服務周到 讓我和我的朋友們有個溫馨又開心的夜晚 以後絕對會再來！💕 …,5,1 年前
環境舒適愜意，值得與三五好友在城市一隅寧靜品味葡萄酒的美好,4,1 年前
可以放鬆品嚐地中海風味的好地方,5,3 年前
參加有關葡萄酒的小講座，收獲良多。,5,2 年前
酒很讚餐點好吃,5,5 個月前
"從5～6年前透由酒展認識老闆
起先是她的理念吸引著我
今年5月终於完成她實體店面
看到她依舊堅持著自己的夢想 完成很棒的一家站
舒服  天然 放鬆 做自己🤗",5,3 年前
氛圍很好的葡萄酒吧，食物很美味，侍酒師很專業！,5,11 個月前
環境氣氛很好，價位親民，服務態度優良，會在回訪😍,5,11 個月前
"在石牌一間很可愛的葡萄酒店
有很多選擇可以搭酒的食物
而且1000元就可以有四到五種單杯組合
覺得很划算
而且店員也非常的親切可愛🥰",5,2 年前
可以非常美好的體會每種不同味覺享受😎,5,7 個月前
"餐點很好吃
夏季限定的Sangria酸甜好喝超推薦👍
店面氛圍很安靜優美 很適合假日來這裡點杯酒和餐點 悠閒的看看書 沈澱放鬆一下！ …",5,3 年前
熱愛葡葡酒的人的好去處！環境氣氛都非常棒！,5,1 年前
"老闆娘葡萄酒知識很專業

推薦的酒讓我度過美好的居家辦公時光

期待輕食部分，配酒一定很棒",5,3 年前
超棒的氣氛與搭酒食物，最重要的是可以挑選的各種酒品，展現出店長的深度品味與眼光。,5,2 年前
享受西班牙葡萄酒的好去處，在店中選擇也蠻多的（包含非酒類），可和三五好友一起來,5,2 年前
優雅的空間感，有些特別的酒款。經介紹第一次喝了橘酒。,4,2 年前
不能出國的時候，可以來這裡懷念西班牙的食物與酒，店員會親切的介紹每一隻酒的來歷,5,2 年前
裝潢雅緻，服務人員甜美親切，值得再來,5,9 個月前
"氣氛好
誰說辦公一定要去咖啡廳
紅酒🍷搭配工作超chill
大推薦 …",5,3 年前
介紹酒款和餐點很仔細用心、空間也很舒適，期待二訪。,5,2 年前
"空間大方明亮 店員介紹清楚 用餐環境舒適
營業時間早 適合喝杯下午酒",5,2 年前
一個很適合一個人待著的空間，很舒服😌,5,11 個月前
"簡單暖和色系的地方啜飲幾杯葡萄酒，幸福美麗的生活不就是這樣嗎？
來來來！快來這裡追尋幸福吧！",5,3 年前
對酒的介紹十分地詳細 也很好喝 推薦,5,1 年前
歐式三款起司與綜合堅果美味可口，與紅酒很搭,5,2 年前
氣氛很好，餐點很適合搭酒,5,1 年前
很安靜、舒服的店，老闆娘很專業，適合三五好友來小酌聊天👍🏻 …,5,2 年前
安靜好吃好喝,5,1 年前
環境很舒服😌 …,5,2 年前
Danny精闢介紹使本次體驗增色許多，謝謝🙏🏻,5,11 個月前
"店員的服務態度超級好，說明清晰…
裝潢舒服，酒類選擇多！",5,3 年前
很道地的西班牙餐酒館，侍酒說明也描述的非常令人嚮往,5,2 年前
菜色好吃，店員的酒類解說很清楚～,5,1 年前
體驗很棒！是適合品酒的好地方！,5,3 年前
小酌的好去處。餐點、酒都非常棒！,5,2 年前
專業，具有質感的好店，酒和小點都精緻而美味。,5,2 年前
外觀很乾凈，看起來不錯,4,1 年前
開在附近的進口實體油酒概念店，氣氛不錯,5,3 年前
服務態度很好,5,11 個月前
"舒適的酒吧/商店，提供美味的小吃（西班牙小吃風格）。非常愉快且精選的西班牙白葡萄酒、紅葡萄酒和起泡酒以及少量優質雪利酒。

注意：由於有營業執照，兒童不得進入場所。",5,9 個月前
"類似歐洲莊園小酒窖的裝潢。
輕鬆的音樂、合適的小吃和價格實惠的葡萄酒。
值得在這裡花一些時間。

順便問一下...他們收取 10% 的服務費，
所以..也許...
侍酒師的一些技能有待進步。",5,1 年前
這是一個非常美麗的地方，充滿了美味佳餚和優質葡萄酒。氣氛非常愉快、安靜。所有的員工都非常友好和專業。完全推薦。,5,2 個月前
"很棒的經驗！

去了冬日仙境，加了金標酒。很喜歡這裡有一杯令人驚喜的酒，如果你猜對了，還可以得到一杯額外的酒

橄欖油冰淇淋甜點也很有趣。與傳統觀念相反，這很好！

一個小缺點是這家商店只提供西班牙葡萄酒……我想也許擴展到更多的歐洲葡萄酒會讓體驗更好。",5,1 年前
我們在亞洲經歷過的最好的葡萄酒體驗之一。他們真的很了解自己的東西，並且有很多有趣的瓶子 - 喜歡他們只專注於西班牙 - 可供選擇。不是一個主流的地方，這就是它如此偉大的原因！最重要的是，當我們離開時，工作人員給了我們很多關於台北及其他地區的觀光和餐廳的建議。非常感謝你們度過了愉快的時光<3,5,1 年前
工作人員非常好，我們有自己的地方,5,1 週前
"工作人員的大力推薦
享受安靜時光或與親密朋友聚會的理想場所",5,1 年前
放鬆的酒吧提供主要來自西班牙和歐洲的獨特精選葡萄酒。下午和朋友喝一杯的好地方。,4,6 個月前
