Bar,Average_Compound,評分
ocean live house _ 古亭酒吧 ｜大安區酒吧,0.6030870967741936,4.7
ON TAP,0.5585738888888889,4.2
OriginBAR 初 ｜大安餐酒館 東區酒吧 法式小酒館 茶酒,0.7317439306358382,4.9
OriginBAR 序 ｜大安餐酒館 商務餐廳 酒吧 活動派對 生日包場,0.7054761565836299,4.9
Ounce,0.5563348837209302,4.5
pm wine to chill,0.6561625000000001,4.9
Posino Taipei,0.704315,5.0
Potions Magic Bar魔藥學餐酒館,0.6885555205047319,4.7
PUN,0.6640151006711409,4.5
Q9 LOUNGE BAR,0.4279638655462184,4.8
Red Room Rendezvous 紅房餐酒館,0.7780439775910365,4.8
Relax Jazz Pub,0.2808038461538462,3.5
ROOM by Le Kief,0.5065863636363637,4.3
Say Yo Bar 平價甜點酒吧_不限時_500暢飲_可帶外食,0.7642257731958763,5.0
SELF 私室 aka.最孤獨的小酒館,0.529731746031746,4.5
Shaka Lounge Bar,0.5502570621468926,4.4
Shotia,0.5842391304347826,4.3
Sidebar,0.6250864768683273,4.6
TaiPak Bar & Bistro｜Meal and cocktail design inspired by Taipei's culture and history,0.644525,4.7
Terminal One - TPE _ 東區餐酒館 ｜ 航空主題酒吧 ｜,0.6498550675675675,4.7
The Public House,0.6428598684210526,4.5
The Scent 餐酒館_Since 2012_Infused Highball_KTV包廂,0.5995688172043011,4.5
The Speakeasy Bar,0.5597072072072072,4.5
The Tavernist,0.6675513353115727,4.4
Tickle my fantasy,0.2522658823529412,3.1
To Infinity & Beyond,0.596103404255319,4.5
Tonight Bistro．餐酒館 _ 創意料理 _ 特色調酒 _ 台北大安人氣BAR _ 東區必去酒吧 _ 宵夜 _,0.5818841328413284,4.8
Trio 三重奏,0.6309891472868218,4.4
Twilight 餐酒館｜大安區酒吧｜信義安和酒吧｜,0.7097382488479262,4.8
unDer lab,0.6254313725490196,4.6
WA-SHU 和酒,0.5621614705882353,4.5
Zoo KeepeR,0.7076686746987951,4.9
Zoom Inn Bar&Dining｜大安區酒吧推薦 企業包場 六張犁最美酒吧,0.7195483253588517,5.0
丘香Sake bar,0.6638304635761588,4.7
你覺得呢餐酒館,0.7232619596541787,4.9
侶人 x【Bar】亂調,0.4932185714285714,4.6
去斯萬家 chez Swann by Jumi Tavern,0.81125,4.7
啜飲室 大安,0.6995754189944133,4.6
墨子｜Mozi bar-東區深夜酒吧_專業調酒_人氣酒吧_酒吧首選_熱門酒吧_網美餐酒館_Taipei bar,0.5351426966292135,4.3
夜色Talking Bar,0.676851304347826,5.0
寓曰 Cafe’ Bar Restaurant,0.7341349514563108,4.8
小酩Sake Bar,0.7269270000000002,4.9
島Dau,0.6064567708333333,4.6
拉薇酒坊,0.48262,4.7
放感情 Silk Road 絲路 _ 台北大安餐酒館 大安水煙酒吧 異國風情酒吧 BAR 人氣美食 宵夜美食餐廳 大安必吃美食推薦 約會聚餐,0.6420205714285714,4.7
晃 Akira,0.6265123376623377,4.6
曜日義式餐酒館,0.7256257383966247,4.3
無向 Bar Without Anhe,0.6163479838709677,4.6
爛泥 oozebar_taipei,0.6029777777777778,4.5
福昊室 FullHouse,0.6805737704918032,4.8
米蓮娜茶餐酒吧,0.6287657777777779,4.7
自己開《Drive yourself》中式古風酒吧｜東區酒吧｜延吉街酒吧｜深夜酒吧,0.5692493243243243,4.6
西班牙大眾酒場,0.5765465517241379,4.4
說吧 Dime Tapas & Wine Bar,0.6585551136363637,4.8
醉好 Another Round,0.6305928143712575,4.8
閣樓放感情 l 大安餐酒館 人氣美食 酒吧推薦 調酒 BAR 網美必吃 公司聚餐 宵夜美食餐廳 聚餐聚會酒吧,0.6350634551495016,4.8
防空洞｜庇護所-Bar,0.5816551282051282,4.7
隱城•小城外Hidden City,0.6128676829268292,4.6
離城放感情 _ 大安六張犁餐酒館 調酒BAR 人氣美食 老宅酒吧 特色酒吧推薦 網美餐酒館 寵物友善 深夜美食 熱門約會景點餐廳 巷弄酒吧 放感情,0.6704793918918919,4.8
難得糊塗,0.5696026666666666,4.5
