Bar,Average_Compound,評分
Oleno Bar（hiphop）林森店 ｜中山區 林森北路 chill vibes,0.5966891791044775,4.8
ONE 9 bar,0.4131333333333333,4.1
PATINA Lounge,0.6184582524271844,4.8
RK Darts Bar,0.4947416666666667,4.7
SHOT 班,0.6271789473684211,4.8
Soshow Bar & Restaurant,0.717211575562701,4.5
Sugar Bar,0.4382952380952381,4.5
Super 346啤酒文創館,0.4421172413793103,4.6
Swing piano bar,0.56388,4.7
TABOO CLUB,0.4964689075630251,4.2
The Herbal Bar 香草窗,0.6311352201257862,4.9
The Open Door,0.7139175438596491,5
The Pub,0.5229766169154229,4.4
Upsilon水煙調酒吧,0.7308530612244896,4.8
Via24 Bar,0.5347181818181818,4.6
VINDEX 雅粹 │ 中山門市-微醺概念Bar、葡萄酒專賣 (預約制),0.6819583333333333,4.8
Voice Long Play Bar 聲聲不息酒吧,0.6622175925925927,4.8
Waroom Bar 暖閣 彩虹 台北六條通酒吧,0.4961936842105262,4.5
Welina卡啦OK酒吧,0.6151233766233766,4.9
XXXLab 解憂吧 Cocktail Bar,0.5729916666666666,4.6
一時無酉 abvless （預約制 Reservation only）,0.6126459677419355,4.8
五號酒吧 No5 Bar,0.6830642857142857,4.9
台北中山意舍酒店,0.4815690510948905,4.3
噶瑪蘭威士忌酒吧,0.7018808219178082,4.7
塵世酒吧 SENSE PUB,0.6385047297297298,4.7
壹樓．臺北 1st. Floor Bar Taipei 壹樓酒吧．臺北壹號店,0.561888,4.6
大倉久和飯店 珍珠酒吧,0.425828409090909,4.2
小酒 sake bar,0.5280735294117648,4.7
布娜飛小酒館中山店Bravocafe draftbeer,0.5402775167785235,4.6
布娜飛紅酒餐酒館Bravo Wine,0.6033036697247707,4.7
干啦！ music bar,0.6569854166666667,5
微醺・中山 清酒餐酒館｜中山區餐酒館｜行天宮餐酒館｜中山區約會小酌聚餐｜中山區午晚餐宵夜推薦｜中山區午餐定食推薦,0.6373523809523809,4.6
微醺飛鏢酒吧｜台北中山區 條通酒吧,0.5788368421052631,5
心白,0.4878548387096774,4.3
找小山 BAR,0.5735033333333333,4.9
暖閣仕女飛鏢酒吧,0.4470065217391305,4.9
桂公子酒館,0.4866258555133079,4.4
桂公子酒館,0.4866258555133079,4.4
梵谷 Lounge Bar,0.4946416666666666,4.1
特區Pub,0.35312,4
當吧PAWN BAR,0.5635879781420764,4.5
石洞PUB(My Place),0.5815028571428571,4.6
碧耳貓 BeerCat,0.4299075471698113,4.1
秘室Chamber,0.6253857142857143,4.3
紙醉金迷 Relax Taipei,0.6672521739130435,4.9
老吧 Bar Aged,0.6642218905472637,4.8
臺日交流Cafe & Bar Kiseki,0.4860233009708738,4.3
莫內 Lounge bar,0.4873875,4.7
藤 Restaurant & Bar,0.5582116666666668,4.6
說故事創義麵餐酒館-中山必去餐酒館_義大利麵_餐酒館推薦_聚餐餐廳_酒吧推薦_宵夜推薦_深夜酒吧,0.6859970370370371,4.9
達文西視覺酒吧 Da Vinci Lounge Bar,0.578792,4.7
酒寨Bar,0.4687657142857143,4.4
酒點見talking bar,0.6035496296296295,5
釂JIAO Taipei【中山區水煙餐酒館】特色酒吧｜高級餐酒館｜人氣酒吧｜人氣調酒｜精緻酒吧,0.6497516339869281,5
飛喬 x 加州陽光 LiveMusic Bar 音樂酒館,0.5747347826086956,4.4
麗濱美式酒吧,0.3208018181818182,4.2
