評論,評分,發布時間
白天的麵包咖啡廳空間環境超讚，麵包好吃，但咖啡普通,5,1 個月前
"很自在的一個地方，白天喝喝咖啡聊天，晚上變身成為一個小酒吧。
天氣舒服的時候外面的位子是一個很舒適的地方。

自己最愛的飲品就是冰的西西里咖啡，喝起來很清爽。",5,2 個月前
"11/22 ( 五 ）AM 12:00
已經選好麵包、到結帳櫃檯等候了
店員卻跟我說，要先幫前面先到的客人結帳
就請我到旁邊等

而店員所謂的「 前面先到的客人 」是：
是在麵包區有選擇障礙的客人

店員不管結帳櫃檯已有客人
並且選好商品，等待結帳 ( 這就算了，我可以慢慢等 )
繼續在麵包區，服務「 有選擇障礙的客人 」
然後再把「 有選擇障礙的客人 」帶到結帳櫃檯
「 有選擇障礙的客人 」從頭到尾
也都沒有同行的人在櫃檯排隊

店員就跟我說
他要先幫前面的客人結帳
叫我去旁邊等 ( ??? 我插隊了 ??? )
感覺就是你專心服務的客人
才是客人，排隊結帳的不是客人
( 不准你先偷偷排隊結帳！我沒要服務你 )

所以該店的服務規矩適用：
一開門，我就去店內慢慢選麵包
讓店員好好幫我介紹每一種麵包
然後開始口味的選擇障礙，猶豫不決
後面來的客人都要等我選完，才能結帳嗎？

服務順序的基準很魔幻
但也不是第一次去消費了
之前的體驗&消費規矩，似乎不是這樣
但經過這次，服務體驗直接降到 0 星",1,1 週前
外面的啤酒喝起來普普，但環境整個氣氛100分，DJ怎麼那麼會放歌啦！覺得不用喝酒就可以很嗨很好玩了！,5,4 個月前
"最新與店家祝你好命的聯名很帥💯
有一店跟隔壁二店
一店是用透明塑膠杯
二店酒是用玻璃杯
氛圍都很不錯二店的空間比較大👍🏻
可以坐在裡頭內用或是站在外面享受歌曲氛圍聊天早上是咖啡廳晚上是開放式酒吧",5,1 個月前
"裝潢很簡約但店裡空間很大，算蠻舒適的，只是冷氣稍冷😆

隔壁的店是專門做手沖的
後來才發現原來兩間是同一家只是品項不一樣
阿薩姆鮮奶茶蠻好喝的，茶跟奶的比例很剛好而且是無糖的，很加分～現在已經沒辦法喝有糖的飲料
雲朵咖啡小小一杯超可愛，喝起來鹹鹹甜甜，有來的可以點一杯嚐鮮，很特別。
朋友的手沖一開始熱熱喝的時候偏酸，但冷掉後竟然變成偏苦，好特別，我比較喜歡冷掉的口味🤣

如果逛街累了很適合坐在這邊休息來一杯咖啡吃點麵包！",5,1 個月前
服務親切、店員都很漂亮、環境佳、咖啡和麵包都很讚，推薦回訪的店家。,5,2 個月前
"酒不會太貴 而且很好喝
肚子餓也可以吃披薩 蠻好吃的
還有松露薯條 薯條是細的很脆

晚上人多會有員工指引
音樂大部分都是播80年代曲風
去的時候都能大聲的唱出來
邊唱邊跳邊喝 一整個很快樂～～
除了有時候生意太好 要花點時間排隊",5,8 個月前
"蠻熱鬧的
而且酒也好喝🍻
松露薯條也很讚😄",5,3 個月前
"拜新一代軟體演算法和網紅的青睞
似乎是當今年輕人聚集的集散地
人潮眾多，沿路聚眾站的聊天
氣氛十分熱鬧歡騰
適合三五好友或是想交朋友的人的小酌處",5,7 個月前
1號有芒果味道的調酒非常好喝！我們還得到零錢包吊飾（好可愛😍😍😍）,5,4 個月前
跟我在韓國喝到的一樣好喝😍,5,1 個月前
"開放式咖啡廳/酒吧😍

今天喝了二號跟三號
最喜歡三號 250💰
琴酒/茉莉花/金萱茶/蜂蜜

茶酒真的萬歲❤️",4,2 個月前
很喜歡這裡的風格跟環境，有餐點、精釀啤酒與調酒，整體都很不錯！服務生人非常好，是一家愈晚愈嗨的酒吧，很推薦👍🏼,5,11 個月前
幾乎每天上班前都會去買杯茶，有時是夏威夷果茶，有時水蜜桃果茶，雖然我不喝咖啡，但巧克力也超好喝，服務人員專業，每一個都是型男美女，而且超專業，晚上想喝一杯時也會去,5,7 個月前
"實際貫徹早C（Coffee）晚A（Alcohol）的一家店，白天和晚上來完全是不同的氛圍。

白天賣的美式咖啡很不錯，咖啡杯的設計很潮很有質感，杯蓋開口設計得很方便，可以隨時開關，不怕灑出來。

5:30pm後開始供應酒精和Pizza，和朋友一起點了1號和3號的調酒，超級好喝，味道有層次又融合得很好。

薯條看起來平平無奇，單吃也很普通，但蘸上附的醬很好吃！有點吃不出是什麼醬，但完全補足薯條原先的缺點，讓人忍不住想一直吃一直吃，超涮嘴！

總結，這家店不管白天或晚上都很適合來坐坐，會有不同的風景和氛圍，推推！",5,1 年前
"白天咖啡廳☕️，夜晚變成酒吧🍸
調酒採預調的方式，所以出酒非常快！
酒口味很好，好喝，而且還是用正常的杯子裝，不是塑膠杯。比較環保，喝起來感覺也比較好～
食物只有披薩🍕但有多種口味，隨便點都好吃！

雖然點酒要排很長的隊伍，但消化都蠻快的～
跟朋友聊天一下就排到了
週五晚上氣氛很讚
有DJ現場播音樂
音樂讚，氛圍好👍🏻

更多食記請見
🔍 Ig：mirafoodiediary",5,1 年前
氣氛很讚 調酒大概2-300元1杯，主要是氣氛很好。,5,3 個月前
25歲以上有點跟不上節奏，很多人聚在門口嗨，容易被撞到灑出來,4,2 個月前
"白天是咖啡廳
晚上搖身一變成了信義區的酒吧之一
晚間的fake sober和白天的氛圍截然不同
很適合幾個朋友小酌聊天的地方
店員也都很親切的招待🪄

雙椒碎牛披薩 160
辣度是小辣到中辣之間
調味的很剛好 不會過鹹過辣
吃完很滿足( ¤̴̶̷̤́ ‧̫̮ ¤̴̶̷̤̀ )

飲品的部分有很多不同種類的調酒
也有不含酒精的飲料可以做選擇.ᐟ‪‪.ᐟ
整體來說很推薦大家可以來放鬆聽音樂
和朋友小酌一杯
可以度過很放鬆的一段時間",5,1 年前
美式復古融合韓系風格的咖啡廳，半開放式的空間非常舒適，晚上會變成酒吧，位在信義區咖啡卻是佛心的價格，大人的快樂在這裡都能得到滿足。,5,1 年前
不得不說 披薩真的很好吃ㄟ 常常來都是為了吃披薩🍕 然後我都喝1號芒果 好ㄏ 但拜託多點英文歌！！！！,5,1 個月前
"｜Fake Sober Taipei｜
/
☕️ · 拿鐵(M) $80
☕️ · 燕麥奶拿鐵(M) $100
/
📍- 信義威秀旁街頭美式Cafe & BAR！

早上賣咖啡，晚上賣調酒、啤酒、鹹食Pizza等，假日半夜幾乎都是爆滿！半開放式的空間，簡約時髦。咖啡無論冰熱都是使用同款外帶杯裝，美式、拿鐵幾乎都是百元內，也有許多非咖啡飲品。信義區這價位真的是很親民～

#拿鐵 #燕麥奶拿鐵
配方豆是中淺焙，兩款個人更推燕麥奶拿鐵，使用的是瑞典PIKOO燕麥奶～當天喝到的拿鐵冰塊略多稍微被稀釋，燕麥奶的相對口感比較濃厚，不是非常優質的咖啡但也對得起價格٩(●˙▿˙●)۶

整體：外帶內用都可以，適合逛街完短暫小憩的地方👀💆‍♀️亦或是晚上Chill的天地！
/
📍營業時間：08:00-02:00（18:00前Coffee）
📍交通：捷運 #台北101站 走路約7分鐘/捷運 #市政府站 走路約13分鐘
📍室內約18個座位",4,1 年前
"朋友推薦的愛店
聽說晚上是酒吧
有機會晚上來看看

平日白天下午來消費
人不多坐戶外區超舒服的啦
飲料咖啡都好喝
一試成主顧",5,9 個月前
"第一次去不用擔心，門口會有店員親切的詢問，告訴你可以先進去感受一下氛圍。
店員都很友善，還會聽我講爛笑話嗚嗚。
個人覺得來這裡主要是感受音樂跟氣氛，如果是要享受酒或喝醉的話就比較沒那麼建議。",5,3 個月前
"萬聖節來第一次吃霉豆腐
感覺很新鮮
希望能成為常駐品項
老闆娘很熱情",5,1 週前
"早晨提神的咖啡、夜晚放鬆的酒精
屬於成年人的快樂這裡一應俱全，空間寬敞俐落有種美式的復古感、個性街頭感，咖啡味道大眾可接受，有機會會再來嘗試啤酒的部分",5,2 年前
"白天是個舒服的戶外咖啡廳
晚上轉為氣氛非常好的DJ酒吧
（點調酒要大排長龍 需要耐心）
想體驗熱鬧唱跳的話 建議11點後再來
會非常好玩🌟🌟",5,8 個月前
"主要是中午會路過買咖啡，熱拿鐵最上方感覺有奶炮喝起來口感很不錯，店員們人都很好，店內設計感與音樂蠻棒的，小憩聊天非常適合。

目前還有很不錯的優惠是在附近上班會有折扣哦。",5,2 年前
信義最近無由來的火到不行，個人覺得主打一個便宜，cp高，其他真的沒有什麼值得來的，每天都很多人，尤其假日圍的跟城牆一樣⋯，感覺都快擠不進去，有錢的話還是去酒吧喝酒最舒服,4,10 個月前
讓人耳朵高潮的好去處，現場氛圍讚，人員親切，很放鬆的地方。,5,3 個月前
早上 晚上完整菜單附上⬇️,5,2 個月前
"信義區又多一個可以灌醉自己的地方！！

位於信義威秀後方，
默默地開了一家靈魂加油站，
早上賣咖啡、晚上賣酒的時尚小店，
（超喜歡這樣營業模式）

咖啡還沒去喝過，
但是酒吧體驗去了兩次，
店內主打酉鬼啤酒跟Draft調酒，
所以不管你愛哪一類通包的概念，
讓你找不到躲酒的藉口。

食物的話有提供多款手工比薩🍕
單片販售，
上次品嚐了三種口味，
其中剝皮辣椒雞真的好正點，
加上週末晚間還有DJ現場演奏，
選歌真的一流，
害我不知覺多喝了兩杯（誤）

真心推薦pre-party或小酌地方，
輕鬆自在，相信你也會喜歡。

#吃胖的大叔 #啤酒 #調酒 #台北美食 #台北酒吧 #宵夜 #酉鬼啤酒",5,2 年前
"Play gum 5分&skittles6分 都偏甜 口味一般般沒有到好喝  而且杯子用玻璃杯很怕摔破
對面的sleep no more比較推推",4,5 個月前
"地方氛圍很棒
當日與朋友消費調酒約在270-300之間
可惜煙味較重，所以對煙味敏感的人不建議去。",4,8 個月前
"氣氛超愛
來3次了😽
推7號Hawaii tea sour 酒精有感又好好喝！
想慢慢喝+有位置坐建議星期1-4來！
（五六日人超多可能要坐外面+煙味很重）",5,1 年前
在明明沒有很擠的地方，黑髮的女店員擅自摸了一下同行男友人，讓朋友不太舒服。希望之後大家來這裡都是開開心心的，不會再遇到這種破事。,1,3 個月前
隔壁2店整體氛圍很好，冷氣強度也足，但麵包的部分真的一言難盡，吃完馬上拉肚子真心沒騙，也是在空腹的情況下吃就馬上鬧肚子了，很難得的體驗👍，但晚上的披薩很好吃喔,3,2 個月前
假日晚上之後會有DJ 調酒算還不錯喝 🍕也可以點👍,5,10 個月前
"店員人很好 無酒精的設計很貼心也很好喝
二店很大很寬敞 甚至有賣麵包！
每次去店員都很貼心 超讚！",5,2 個月前
居然有賣pizza 味道還可以,4,2 個月前
"6/27 晚上看完電影後直接來 (憑威秀票根披薩享九折優惠)

氣氛：美式復古木造酒吧風格 音樂音量偏大聲 主要以韓式與美式流行R&B嘻哈音樂為主 假日會有DJ來表演
半開放式設計 裡面有賣自家衣服 座位不多但有露天座 深夜人潮眾多時店外會擺出凳子
與姊妹店Ruff走的絕對狂歡路線相反 悠懶放鬆的氛圍讓燈火通明的信義區多了一點輕柔

餐點：晚上只有調酒啤酒薯條跟披薩可以選 價格都落在120~300之間 以單價昂貴的信義區來看算便宜
啤酒要去露天座旁的小攤位點 調酒薯條披薩則是去店裡的收銀台點餐
我們兩個人總共點了 無酒精飲料(蘋果氣泡飲) 跟一份波菜披薩跟培根披薩
氣泡飲普通偏甜 蘋果汁味道重
披薩很貼心 是一片再切成幾小塊非常好入口 整體調味均衡 培根鹹的夠味不會死鹹 餅皮起司絲滑順口

服務：內場與外場的店員人都很好很親切 不會因為你不是熟客而擺出消極的態度
當時點餐時 披薩因缺貨要等半小時 即使因音樂太大聲沒聽到店員說披薩沒了還傻傻跟他說我要培根披薩 店員也沒有表現不耐煩 我們回座時還主動了一杯飛機餅乾給我們 告訴我們不夠都可以向他們續 披薩到貨時主動到我們座位前點餐 用完的餐杯也會馬上收拾 從頭到尾都感受到他們的貼心",4,1 年前
"白天是咖啡廳
本來以為會很貴 但奶茶大杯80
目前有活動再送一杯小美式
很好喝 而且夠冰😍
但座位區當天有點髒 店員都沒有收桌子或是擦桌子
但不影響 因為也可以帶走喝",5,2 年前
"空幫哇！你們的酒吧評論家又來啦！今天要跟大家聊聊一間名為FAKE SOBER的啤酒吧。

這間店因為Threads的強大影響力，現在已經變成了一個著名的觀光景點。來這裡的客人，大多是為了朝聖，把這個地方當作一個必訪的打卡地點。FAKE SOBER提供的啤酒確實口感一流，有一些特別的品項絕對值得一試。

但是，你會發現，大部分的人來這裡，其實更多是為了拍照而不是純粹享受啤酒。這種現象讓FAKE SOBER失去了一些傳統啤酒吧的感覺，原本的定位似乎已經模糊。

所以，如果你是想來感受一下這裡的氣氛，我還是很推薦來FAKE SOBER。這裡的環境獨特，充滿了活力。

不過，要提醒的是，這裡可能會相當擁擠，有時候人多到你可能會覺得這並不是一個可以好好坐下來慢慢品味啤酒的地方。

FAKE SOBER是一個熱鬧的社交場所，但可能不是尋找寧靜啤酒時光的最佳選擇。總而言之，FAKE SOBER是一個極具特色的地方，但或許更適合那些尋求視覺享受和社交樂趣的朋友。",4,7 個月前
白天是咖啡廳的酒吧，咖啡竟然也不馬虎，設計的產品也蠻有質感，很推來信義區想喝水沖或悠閒一下的人,5,1 年前
服務非常好，咖啡順口好喝！,5,1 個月前
"無腦推四號
喜歡酒感輕的一定要點 搭配上上面的慕斯口感大大提升
薯條沾上醬汁也非常好吃
平日跟朋友來比較有趣 要熱鬧一些還是假日好玩",5,8 個月前
"我是晚上去的 沒有喝咖啡
酒跟披薩價錢都蠻合理的 也好喝好吃
店內氣氛不錯 而且沒有門 半開放式空間 不會悶
推喔～",5,1 年前
帥哥多~美女也不錯，而且音樂好聽，環境又嗨~~~重點是酒好喝，雖然酒的種類並不多，但都有一定的特點在，而且還有小點心Pizza/薯條搭配，重點來了，價錢又不會說很貴，很適合我們這種錢不多~但同時又想去夜店或酒吧嗨的人，非常值得一再前往😂😂😂😂 …,5,2 年前
"2、1店都價格便宜，麵包很好吃 咖啡也好喝😋裝潢超級美的～cp值好高
一定再訪
🌟另外，音樂有點偏大聲（2店的），如果可以小聲一點更好👍",5,2 個月前
"終於來朝聖了
咖啡真的滿好喝
且在信義區賣這種價位還真親民
但就是開放式空間環境比較熱
只好外帶回辦公室
九十月坐在店裡肯定很chill",5,1 年前
"在信義威秀和Neo19之間的一樓位置
啤酒🍻不錯！
披薩🍕餅皮紮實有脆
很適合pre drink …",5,1 年前
晚上六點前是咖啡店 六點後才開始賣酒跟pizza🍕適合跟朋友一起來建議提早出發 越晚人越多很難有空位 …,5,1 年前
"信義威秀影城側旁新開幕的店，
晨間咖啡店，晚間酒吧披薩店！
ㅤㅤㅤㅤㅤㅤㅤㅤㅤ
早八後就有供應冷熱咖啡飲品，
晚上六點後提供鹹食酒精飲品。
ㅤㅤㅤㅤㅤㅤㅤㅤㅤ
開幕優惠購買飲品送試飲美式，
兩杯瞬間整個人清醒！💪🏻 👀
ㅤㅤㅤㅤㅤㅤㅤㅤㅤ
適合早上來提提神，放鬆抬槓，
或是晚上下了班，大夥出來嗨～
ㅤㅤㅤㅤㅤㅤㅤㅤㅤ
早晨喝咖啡，聽著韓文歌曲，
晚間來這小酌一杯吃披薩🍕🍻",5,2 年前
"vibe肯定是滿分，披薩好吃
但每種酒都喝過一輪覺得沒有特別驚訝，就是普通可以入口",4,1 年前
餐點飲料沒有特別好 價格偏好 就好拍的網紅店,4,1 週前
點了2份披薩和薯條還有酒，結果送錯披薩口味還少送一個披薩，取餐時與店員提出少給一個披薩沒有做確認的動作就說我們只點一個，再次拿發票金額有算少送的披薩後還是堅持是我們點餐時少點，金額沒有錯誤，再三提出才確認pos機，確定是店員點錯並送錯餐點，處理過程冗長且店員服務態度有待加強,3,4 個月前
"這個男的會區別待遇🤗
沒有穿小背心他不會跟你說話呦🤗
大家跟他要菜單的話記得要穿小背心呦🤗
不然理都不理呦🤗",1,3 個月前
喝酒方便 氣氛很好 人潮眾多,5,1 個月前
"信義商圈最free的酒吧
披薩記得一定要點辣的 管你吃不吃辣！",5,1 年前
服務態度極好♥️♥️純粹為了服務態度來給好評的～～一到店門口 就有店員主動指引如何點餐，及介紹餐點 各種貼心服務，途中還不小心打翻酒，貼心的店員除了立刻來幫忙清潔桌面以外，還立刻詢問是打翻什麼酒，居然立馬補一杯新的，真的是貼心到不行～～～每個店員態度都極好～5顆星都不夠～～～😍,5,5 個月前
適合當夜晚的前哨戰，下午賣咖啡晚上有調酒及啤酒。pizza大塊但味道普通。,4,1 年前
"今天的dj真的播的很爛….
完全沒辦法讓大家氣氛被炒起來
後來過了12點多換了一個男生放…果然覺得有用心 大家都因為他的歌比較熱鬧嗨起來了。",3,5 個月前
"披薩點了蒜泥菠菜、雙椒碎牛、起司臘腸
都滿好吃的👍🏻
店內氣氛不錯，但酒的部分偏普通😅

👉🏻想看更多美食、旅遊分享可以追蹤我的ig: sarah__1205💕",4,1 年前
"二店有個黑長髮女店員
長得漂亮
態度跟欠她錢一樣
老闆請到這種員工真是…😓",1,2 個月前
"披薩熱熱的很好吃，調酒很棒
很適合跟朋友在這邊小聊天",4,1 年前
"無腦推四號
喜歡酒感輕的一定要點 搭配上上面的慕斯口感大大提升
薯條沾上醬汁也非常好吃
平日跟朋友來比較有趣 要熱鬧一些還是假日好玩",5,8 個月前
破地方 我整個薯條可以等那麼久，地發wind說就全家都倒閉,1,1 個月前
隨便點了一杯草莓乳酸還蠻好喝的欸～,5,6 個月前
咖啡好喝又便宜，在信義區拿鐵才80元，對面就是停車場，停車很方便，還是寵物友善的店，當天去看到客人的科基好可愛～～,5,2 年前
"入口在NEO 19側邊全家的對面
也可以從信義威秀一樓的小門進去
晚上6點後變bar 但只能說就是個被pizza耽誤的bar
怎麼可以那麼好吃 可惜這次酪梨沒ㄌ
推爛PEPPERRONI PIZZA $160 （臘腸跟起司簡單爆力好吃）
GARLIC SPINACH PIZZA $150（菠菜俱樂部 怎會想到一日蔬菜是在bar裡補齊的）

調酒在最裡面點
啤酒在馬路旁的小窗口點
啤酒敢給我叫大冰紅的真的沒幾個
畢竟要承載所有人對大冰紅的想像
結果完全沒有大冰紅味 謝謝🙂

店內氣氛就是信義區氣氛
跟barcode一樣黑爆 看菜單要開手電筒的那種
完全夜盲症不友善 加上臉盲還會經常找不到朋友🙂

酒的價錢定位跟Draftland差不多
喝過一輪好像沒有這別驚豔的
2. ROSE SOUR 19% $250（偏酸很清香，玫瑰味道很突出）
3. JASMINE SPRITZ 17% $250（很清爽金萱茶香突出很夏天很愛）
4. PINEAPPLE PUNCH 13% $250（肯定是東南的夏天的海灘）
8. SOBER ICE TEA 23% $300（點這個單純CP值很高，酒精高但沒有特別好喝有個淡淡苦味）
其他沒有印象了",4,1 年前
要刷載具，櫃檯說不夠亮，我告知我開手機手電筒…櫃檯還是打出來，我問櫃檯能不能重開，櫃檯跟我說不能…後來我講那是我的權益，才重掃…而且當著一堆排隊的面慢慢退發票…整體感覺很不專業。第二點，收個零錢，飲料沒辦法拿，居然跟我說跟我說不能待在取酒的地方==態度惡劣！真的傻眼！,1,1 年前
酒還不錯喝🍷，氣氛也蠻舒適的～,4,1 年前
"CP值高、每位店員都非常親切（謝謝你們～）
Mocktail 很好喝，起司和酪梨披薩也都很好吃，特別是酪梨披薩，沒想到搭在一起這麼適合，披薩還切成適合吃的大小真的很貼心
本來點餐時想試試看有辣的牛肉披薩，謝謝店員提醒它真的會辣😂才能改吃到這麼好吃的酪梨口味

謝謝Fake Sober 讓我們度過美好的週一夜晚
很快會再來～",5,1 年前
